系统名称,资源类型,分类,域名,公网地址,内网地址,连接串,负责人,环境标识,备注,备忘录内容,拨测监控,拨测状态码,拨测超时,探测间隔,拨测方法,拨测请求头,拨测Body,跟随重定向,跳过证书校验,私有CA路径
7ssl,网站,业务系统,,https://47.101.200.201:5443/DMS_QUARTZ/,,,,生产环境,,,是,200,5s,30s,GET,,,,,
9-ssl-系统,网站,业务系统,,http://47.101.200.201:3380/DMS_QUARTZ_FNSR/,,,,生产环境,,,是,200,5s,30s,GET,,,,,
apollo-gateway,网站,业务系统,https://bizgateway.hmglog.com,,http://172.16.16.181:4090 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
bi-report,网站,业务系统,,http://139.224.247.172:32010,http://172.16.16.181:32010,,,生产环境,,,是,200,5s,30s,GET,,,,,
bi-report-ui,网站,业务系统,,http://139.224.247.172:32011,http://172.16.16.181:32011,,,生产环境,,,是,200,5s,30s,GET,,,,,
blockchain,网站,业务系统,,http://139.224.247.172:32180,http://172.16.16.181:32180,,,生产环境,,,是,200,5s,30s,GET,,,,,
blockchain-ui,网站,业务系统,,http://139.224.247.172:32181,http://172.16.16.181:32181,,,生产环境,,,是,200,5s,30s,GET,,,,,
bridging,网站,业务系统,,http://139.224.247.172:32000,http://172.16.16.181:32000,,,生产环境,,,是,200,5s,30s,GET,,,,,
career,网站,业务系统,,http://139.224.247.172:32190,http://172.16.16.181:32190,,,生产环境,,,是,200,5s,30s,GET,,,,,
career-ui,网站,业务系统,,http://139.224.247.172:32191,http://172.16.16.181:32191,,,生产环境,,,是,200,5s,30s,GET,,,,,
CAREER招聘系统,网站,业务系统,https://career.hmglog.com/login?redirect=%2Findex,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
cim,网站,业务系统,,http://139.224.247.172:32020,http://172.16.16.181:32020,,,生产环境,,,是,200,5s,30s,GET,,,,,
cim-ui,网站,业务系统,,http://139.224.247.172:32021,http://172.16.16.181:32021,,,生产环境,,,是,200,5s,30s,GET,,,,,
CIS,网站,业务系统,https://cis-test.hmglog.com/CIS,http://139.196.79.109:9080,http://172.16.16.170:9080,,,测试环境,,,是,200,5s,30s,GET,,,,,
CIS,网站,业务系统,https://cis.hmglog.com/CIS,http://47.101.215.214:8080/CIS,http://172.16.16.74:8080/CIS,,,生产环境,,,是,302,5s,30s,GET,,,,,
CMS-生产环境,网站,业务系统,,http://47.101.200.201:6080/CMS,,,,生产环境,,,是,302,5s,30s,GET,,,,,
commonthird,网站,业务系统,https://commonthird.hmglog.com/prod-api/third/info,http://47.100.200.114:3050,http://172.16.16.77:3050,,,生产环境,,,是,200,5s,30s,GET,,,,,
commonthird-oversea,网站,业务系统,https://commonthird-oversea.hmglog.com/third/info,http://47.100.200.114:3070,http://172.16.16.83:3070,,,生产环境,,,是,302,5s,30s,GET,,,,,
COS_RPT-windows主机,网站,业务系统,,http://47.100.197.161:8780/cos_rpt,,,,生产环境,,,是,302,5s,30s,GET,,,,,
COS3.0,网站,业务系统,,http://47.100.204.13:7080/COS,http://172.16.16.82:7080,,,生产环境,,,是,302,5s,30s,GET,,,,,
cpq,网站,业务系统,https://cpq.hmglog.com,http://47.100.200.114:3010,http://172.16.16.181:3010 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
cpq-backend,网站,业务系统,https://cpq-backend.hmglog.com,http://47.100.200.114:3000,http://172.16.16.181:3000 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
dify-报销智能体,网站,业务系统,https://x-agent.hmglog.com/chat/Ludyje1pNqHQj8eC,,http://172.16.16.95:8001,,,生产环境,,,是,200,5s,30s,GET,,,,,
DMS_MSMQ-成都,网站,业务系统,,http://47.100.197.161:5443/DMS_MSMQ/,,,,生产环境,,,是,200,5s,30s,GET,,,,,
DMS_WS合肥关贸云,网站,业务系统,https://dmsws.hmglog.com/DMS_WS/httppost/hfeInvPage,http://47.101.200.201:8192,http://172.16.16.78:8192,,,生产环境,,,是,401,5s,30s,GET,,,,,
DMS-CRON-系统,网站,业务系统,,http://47.101.200.201:3680/DMS_CRON_JOB/,,,,生产环境,,,是,200,5s,30s,GET,,,,,
DMS系统-生产环境,网站,业务系统,,http://47.101.200.201:5080/DMS/htmpage/common/welcome.htm,,,,生产环境,,,是,302,5s,30s,GET,,,,,
docuai-auth,网站,业务系统,https://hap.hmglog.com/prod-api/auth/detection,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
docuai-mail,网站,业务系统,https://hap.hmglog.com/prod-api/mail/detection,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
docuai-schedule,网站,业务系统,https://hap.hmglog.com/prod-api/schedule/detection,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
docuai-system,网站,业务系统,https://hap.hmglog.com/prod-api/system/detection,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
eapp-dms-external,网站,业务系统,,http://47.100.200.114:3020,http://172.16.16.181:3020 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
eapp-dms-internal,网站,业务系统,,http://47.100.200.114:3030,http://172.16.16.181:3030 ,,,生产环境,,,是,404,5s,30s,GET,,,,,
eapp-external,网站,业务系统,,http://139.224.247.172:32210,http://172.16.16.181:32210,,,生产环境,,,是,200,5s,30s,GET,,,,,
eapp-external-ui,网站,业务系统,,http://139.224.247.172:32211,http://172.16.16.181:32211,,,生产环境,,,是,200,5s,30s,GET,,,,,
etms-official-account,网站,业务系统,https://etms-official-account.hmglog.com,,http://172.16.16.181:4260 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
etms-test,网站,业务系统,https://etms-test.hmglog.com/frame/login,,,,,测试环境,,,是,200,5s,30s,GET,,,,,
FEDEX,网站,业务系统,https://fedex.hmglog.com,http://139.196.79.109:8080/FEDEX/,,,,生产环境,,,是,200,5s,30s,GET,,,,,
FEDEX-intf,网站,业务系统,,http://139.196.79.109:8090/FEDEX_INTF,http://172.16.16.170:8090,,,生产环境,,,是,302,5s,30s,GET,,,,,
fedex-国外接口,网站,业务系统,https://pwba0099.dmz.apac.fedex.com/api/mdtcn/external/direct/MDTSHA1,,,,,生产环境,,,是,405,5s,30s,GET,,,,,
flowplatform-pro,网站,业务系统,,http://139.224.247.172:32050,http://172.16.16.181:32050,,,生产环境,,,是,302,5s,30s,GET,,,,,
flowplatform-ui,网站,业务系统,,http://139.224.247.172:32051,http://172.16.16.181:32051,,,生产环境,,,是,200,5s,30s,GET,,,,,
fss,网站,业务系统,https://fss.hmglog.com,http://47.100.204.13:5080,http://172.16.16.82:5080,,,生产环境,,,是,404,5s,30s,GET,,,,,
gitlab,网站,业务系统,https://gitlab.hmglog.com,http://139.224.229.90:2443,http://172.16.16.161:2443,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-cis,网站,业务系统,,http://47.100.200.114:32090,http://172.16.16.181:32090 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-cis-parent,网站,业务系统,,http://139.224.247.172:32332,http://172.16.16.181:32332,,,生产环境,,,是,401,5s,30s,GET,,,,,
hmg-cos-parent,网站,业务系统,,http://139.224.247.172:32340,http://172.16.16.181:32340,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-cpq-backend-h5,网站,业务系统,https://quotation.hmglog.com,,http://172.16.16.181:4020 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-dms-quartz,网站,业务系统,,http://47.100.200.114:32100,http://172.16.16.181:32100 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-dms-server,网站,业务系统,,http://139.224.247.172:32331,http://172.16.16.181:32331,,,生产环境,,,是,401,5s,30s,GET,,,,,
hmggateway,网站,业务系统,https://hmggateway.hmglog.com,,http://172.16.16.181:4250 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-hk-camera,网站,业务系统,,http://47.100.200.114:4240,http://172.16.16.181:4240 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-ims-backend,网站,业务系统,,http://47.100.200.114:32150,http://172.16.16.181:32150 ,,,生产环境,,,是,302,5s,30s,GET,,,,,
hmg-ims-ui,网站,业务系统,https://ims.hmglog.com,http://47.100.200.114:32151,http://172.16.16.181:32151 ,,,生产环境,http://139.224.247.172:32151,,是,200,5s,30s,GET,,,,,
hmg-labeling-backend,网站,业务系统,,http://139.224.247.172:32280,http://172.16.16.181:32280,,,生产环境,,,是,404,5s,30s,GET,,,,,
hmg-labeling-ui,网站,业务系统,,http://139.224.247.172:32281,http://172.16.16.181:32281,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmgmedical-泓明医疗官网,网站,业务系统,https://medical.hmglog.com,,http://172.16.16.181:4080 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmgmedical-医疗-后台系统,网站,业务系统,,http://139.224.247.172:32242,http://172.16.16.181:32242,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-nwms,网站,业务系统,https://nwms.hmglog.com,http://139.224.247.172:32081 ,http://172.16.16.181:32081 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-nwms-backend,网站,业务系统,,http://47.100.200.114:32080,http://172.16.16.181:32080 ,,,生产环境,,,是,404,5s,30s,GET,,,,,
hmg-nwms-hmservice,网站,业务系统,,http://139.224.247.172:32162,http://172.16.16.181:32162,,,生产环境,,,是,404,5s,30s,GET,,,,,
hmg-nwms-jsonws,网站,业务系统,,http://139.224.247.172:32163,http://172.16.16.181:32163,,,生产环境,,,是,404,5s,30s,GET,,,,,
hmg-rancher-sit,网站,业务系统,,http://43.240.126.20:51225/ping,,,,测试环境,,,是,200,5s,30s,GET,,,,,
hmg-shenyu-bootstrap,网站,业务系统,https://openapi.hmglog.com,,http://172.16.16.181:4040 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg-skillhub-be,网站,业务系统,,http://47.100.200.114:32160,http://172.16.16.181:32160 ,,,生产环境,,,是,401,5s,30s,GET,,,,,
hmg-skillhub-ui,网站,业务系统,https://skillhub.hmglog.com,http://139.224.247.172:32161 ,http://172.16.16.181:32161 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
hmg邮箱,网站,业务系统,https://mail.hmglog.com/,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
inspection-国创查检管理平台,网站,业务系统,https://inspection.hmglog.com,,http://172.16.16.181:4150 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
ipaas,网站,业务系统,https://ipaas.hmglog.com/ipaas/account/login,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
JSONWS,网站,业务系统,http://jsonws.hmglog.com:8880/JSONWS/wes/services/wesPickConfirm,,,,,生产环境,,,是,200,5s,30s,GET,,,,,
jumpserver,网站,业务系统,https://jumpserver-aliyun.hmglog.com,http://139.224.229.90:82,http://172.16.16.161:82,,,生产环境,,,是,200,5s,30s,GET,,,,,
maven-仓库,网站,业务系统,,http://139.224.229.90:8081/#admin/repository/repositories,,,,生产环境,,,是,200,5s,30s,GET,,,,,
mdm,网站,业务系统,https://mdm.hmglog.com,http://47.100.200.114:3100,http://172.16.16.181:3100 ,,,生产环境,,,是,302,5s,30s,GET,,,,,
mdm-backend,网站,业务系统,,http://47.100.200.114:3090,http://172.16.16.181:3090 ,,,生产环境,,,是,200,5s,30s,GET,,,,,
microsoft-example-ui,网站,业务系统,,http://139.224.247.172:32251,http://172.16.16.181:32251,,,生产环境,,,是,200,5s,30s,GET,,,,,
msmq-47.100.197.161,非网站,业务系统,,,,172.16.16.73:1801,,生产环境,,,是,,5s,30s,GET,,,,,
nacos-生产,网站,业务系统,,http://139.224.247.172:8848,http://172.16.16.181:8848,,,生产环境,,,是,404,5s,30s,GET,,,,,
